"longitude","latitude","housingMedianAge","totalRooms","totalBedrooms","population","households","medianIncome","medianHouseValue"
-122.24,37.85,52,1467,190,496,177,7.2574,352100
-122.26,37.84,42,2555,665,1206,595,2.0804,226700
-122.25,37.84,52,3549,707,1551,714,3.6912,261100
-122.26,37.84,52,696,191,345,174,2.6736,191300
-122.27,37.84,52,1503,298,690,275,2.6033,162900
-122.27,37.85,40,751,184,409,166,1.3578,147500
-122.27,37.84,52,2436,541,1015,478,1.725,113900
-122.27,37.84,52,2224,437,1006,422,2.6,132600
-122.28,37.85,41,535,123,317,119,2.4038,107500
-122.28,37.85,49,1130,244,607,239,2.4597,93800
-122.28,37.84,52,729,160,395,155,1.6875,132000
-122.27,37.83,51,2665,574,1258,536,2.7303,109700
-122.27,37.83,49,1215,282,570,264,1.4861,97200
-122.26,37.83,52,1470,330,689,309,3.48,191400
-122.26,37.84,49,713,202,462,189,1.025,118800
-122.26,37.83,50,1125,322,616,304,2.026,142500
-122.27,37.82,43,1007,312,558,253,1.7348,137500
-122.26,37.82,40,624,195,423,160,0.9506,187500
-122.27,37.82,40,946,375,700,352,1.775,112500
-122.28,37.82,52,945,243,576,220,1.4113,83100
-122.28,37.82,52,1238,288,622,259,1.5057,87500
-122.28,37.82,52,1489,335,728,244,0.8172,85300
-122.29,37.82,2,158,43,94,57,2.5625,60000
-122.29,37.83,52,1121,211,554,187,3.3929,75700
-122.29,37.81,50,760,190,377,122,0.9011,86100
-122.3,37.81,48,828,182,392,133,2.5938,73500
-122.3,37.81,52,1010,209,604,187,1.1667,78400
-122.3,37.81,48,1455,354,788,332,0.8056,84400
-122.29,37.8,52,1027,244,492,147,2.6094,81300
-122.3,37.81,52,572,109,274,82,1.8516,85000
-122.29,37.81,26,768,152,392,127,1.7719,82500
-122.29,37.81,46,935,297,582,277,0.7286,95200
-122.29,37.81,46,12,4,18,7,0.4999,67500
-122.29,37.81,20,835,161,290,133,2.483,137500
-122.28,37.81,17,1237,462,762,439,0.9241,177500
-122.28,37.8,38,684,176,344,155,2.0114,131300
-122.28,37.81,17,924,289,609,289,1.5,162500
-122.28,37.81,52,340,97,200,87,1.5208,112500
-122.28,37.81,35,948,184,467,169,1.8088,118800
-122.27,37.81,10,875,348,546,330,0.76,162500
-122.27,37.8,16,994,392,800,362,2.0938,162500
-122.27,37.8,39,1715,623,1327,467,1.8477,179200
-122.26,37.8,36,5329,2477,3469,2323,2.0096,130000
-122.26,37.82,31,4596,1331,2048,1180,2.8345,183800
-122.26,37.81,29,335,107,202,91,2.0062,125000
-122.26,37.82,22,3682,1270,2024,1250,1.2185,170000
-122.25,37.81,29,4656,1414,2304,1250,2.4912,257800
-122.25,37.81,28,5806,1603,2563,1497,3.2177,273400
-122.25,37.81,39,854,242,389,228,3.125,237500
-122.26,37.81,34,5871,1914,2689,1789,2.8406,335700
-122.24,37.82,52,1509,225,674,244,4.9306,313400
-122.25,37.81,52,1758,460,686,422,3.1691,259400
-122.25,37.82,28,3337,855,1520,802,3.9063,225000
-122.25,37.82,32,3809,1098,1806,1022,2.6429,218500
-122.25,37.82,26,3959,1196,1749,1217,3.0233,255000
-122.25,37.83,52,1279,287,534,291,3.1429,231600
-122.25,37.83,28,5022,1750,2558,1661,2.4234,218500
-122.23,37.84,50,2515,399,970,373,5.8596,327600
-122.24,37.85,37,334,54,98,47,4.9643,335000
-122.23,37.85,52,2800,411,1061,403,6.3434,373600
-122.24,37.84,52,3529,574,1177,555,5.1773,389500
-122.19,37.84,18,1617,210,533,194,11.6017,392600
-122.21,37.83,34,5065,788,1627,766,6.8976,333300
-122.2,37.83,26,1589,223,542,211,8.401,351200
-122.19,37.83,29,1791,271,661,269,6.8538,368900
-122.2,37.82,39,3770,534,1265,500,6.3302,362800
-122.21,37.82,52,2375,333,813,350,7.0549,331400
-122.21,37.8,50,2833,605,1260,552,2.8929,216700
-122.21,37.81,52,1389,212,510,224,5.2402,296400
-122.22,37.8,52,2286,464,1073,441,3.0298,199600
-122.22,37.8,52,2721,541,1185,515,4.5428,239800
-122.22,37.81,52,2944,536,1034,521,5.3509,302100
-122.23,37.81,52,2315,292,861,258,8.8793,410300
-122.24,37.81,52,1490,238,634,256,6.0302,287300
-122.24,37.81,52,2093,550,918,483,2.7477,243800
-122.24,37.8,52,888,168,360,175,2.1944,211500
-122.25,37.8,41,1471,469,1062,413,1.6121,171400
-122.25,37.79,45,1786,526,1475,460,1.7772,97500
-122.25,37.79,52,1339,391,1086,363,2.181,138800
-122.24,37.8,52,996,228,731,228,2.2697,127000
-122.24,37.8,52,1591,373,1118,347,2.1563,128600
-122.24,37.8,47,2046,588,1213,554,2.6292,182700
-122.23,37.8,52,1192,289,772,257,2.3833,146900
-122.24,37.8,49,2838,749,1487,677,2.5238,169300
-122.23,37.8,52,783,184,488,186,1.9375,126600
-122.23,37.8,51,1590,414,949,392,1.9028,127900
-122.23,37.79,52,1783,395,1659,412,2.9357,107900
-122.23,37.79,30,999,264,1011,263,1.8854,137500
-122.25,37.79,51,175,43,228,55,2.1,75000
-122.25,37.79,52,902,237,846,227,3.625,125000
-122.26,37.8,20,2373,779,1659,676,1.6929,115000
-122.23,37.77,52,769,206,612,183,2.57,72000
-122.23,37.78,44,2340,825,2813,751,1.6009,118100
-122.23,37.79,48,1696,396,1481,343,2.0375,122500
-122.23,37.79,49,1175,217,859,219,2.293,106300
-122.23,37.79,40,930,199,564,184,1.3281,113300
-122.22,37.79,52,3424,690,2273,685,3.9048,164700
-122.22,37.79,38,3049,711,2167,659,2.7969,141700
-122.21,37.79,47,1543,307,859,292,2.9583,138800
-122.21,37.79,34,2364,557,1517,516,2.8365,139200
-122.21,37.79,35,1745,409,1143,386,2.875,143800
-122.21,37.8,39,2003,500,1109,464,3.0682,156500
-122.2,37.8,43,3045,499,1115,455,4.9559,273000
-122.21,37.8,48,1321,263,506,252,4.0977,229700
-122.19,37.79,50,968,195,462,184,2.9844,179900
-122.19,37.8,52,1813,271,637,277,4.0114,263400
-122.19,37.79,45,2718,451,1106,454,4.6563,231800
-122.19,37.79,28,3144,761,1737,669,2.9297,140500
-122.2,37.79,49,882,195,737,210,2.6667,122000
-122.2,37.79,44,1621,452,1354,491,2.619,134700
-122.2,37.79,45,2021,528,1410,480,2.7788,115400
-122.21,37.78,46,2239,508,1390,569,2.7352,137300
-122.22,37.78,44,2968,710,2269,610,2.3906,111700
-122.21,37.78,43,1702,460,1227,407,1.7188,126800
-122.21,37.78,47,881,248,753,241,2.625,111300
-122.22,37.78,44,1678,514,1700,495,2.0801,131900
-122.21,37.77,52,591,173,353,137,4.0904,80600
-122.21,37.77,52,745,153,473,149,2.6765,88800
-122.21,37.77,43,1017,328,836,277,2.2604,1e+05
-122.19,37.77,42,932,254,900,263,1.8039,92300
-122.2,37.77,39,2689,597,1888,537,2.2562,94800
-122.2,37.77,41,1547,415,1024,341,2.0562,102000
-122.2,37.78,52,2300,443,1225,423,3.5398,158400
-122.2,37.78,39,1752,399,1071,376,3.1167,121600
-122.21,37.78,44,1729,414,1240,393,2.3125,102800
-122.19,37.77,52,2170,428,1086,425,3.3715,143900
-122.19,37.77,52,2329,445,1144,417,3.5114,151200
-122.19,37.78,52,2492,415,1109,375,4.3125,164400
-122.19,37.78,52,2198,397,984,369,3.22,156500
-122.18,37.78,33,142,31,575,47,3.875,225000
-122.19,37.78,52,1070,193,555,190,3.7262,166900
-122.18,37.79,39,617,95,236,106,5.2578,253000
-122.18,37.79,46,2109,387,922,329,3.9712,208100
-122.19,37.79,47,1229,243,582,256,2.9514,198100
-122.19,37.79,50,954,217,546,201,2.6667,172800
-122.13,37.77,24,2459,317,916,324,7.0712,293000
-122.16,37.79,22,12842,2048,4985,1967,5.9849,371000
-122.17,37.78,42,1524,260,651,267,3.6875,157300
-122.18,37.78,50,1642,322,713,284,3.2984,160700
-122.17,37.78,49,893,177,468,181,3.875,140600
-122.17,37.78,52,653,128,296,121,4.175,144000
-122.16,37.77,47,1256,217,570,218,4.375,161900
-122.16,37.77,48,977,194,446,180,4.7708,156300
-122.16,37.77,45,2324,397,968,384,3.5739,176000
-122.17,37.77,39,1612,342,912,322,3.3958,141900
-122.17,37.76,47,2118,413,965,382,2.1842,107900
-122.18,37.76,37,1575,358,933,320,2.2917,107000
-122.18,37.76,52,754,175,447,165,3.9063,93800
-122.18,37.76,49,2308,452,1299,451,1.8407,96700
-122.18,37.77,27,909,236,396,157,2.0786,97500
-122.18,37.77,52,2744,547,1479,554,2.2768,96200
-122.18,37.77,52,1748,362,1029,366,2.0556,1e+05
-122.19,37.76,52,2024,391,1030,350,2.4659,94700
-122.2,37.76,47,1116,259,826,279,1.75,85700
-122.19,37.77,41,2036,510,1412,454,2.0469,89300
-122.19,37.77,45,1852,393,1132,349,2.7159,101400
-122.2,37.75,36,606,132,531,133,1.5809,70000
-122.2,37.76,37,2680,736,1925,667,1.4097,84600
-122.19,37.76,38,1493,370,1144,351,0.7683,81800
-122.19,37.75,19,2207,565,1481,520,1.3194,81400
-122.19,37.75,28,856,189,435,162,0.8012,81800
-122.19,37.74,36,847,212,567,159,1.1765,87100
-122.18,37.74,42,541,154,380,123,2.3456,83500
-122.19,37.73,44,1066,253,825,244,2.1538,79700
-122.19,37.74,43,707,147,417,155,2.5139,83400
-122.18,37.73,42,909,215,646,198,2.9063,80000
-122.18,37.73,43,1391,293,855,285,2.5192,76400
-122.18,37.73,42,4074,874,2736,780,2.455,82400
-122.17,37.74,41,1613,445,1481,414,2.4028,97700
-122.17,37.74,43,818,193,494,179,2.4776,101600
-122.17,37.74,46,1026,226,749,225,3.0298,107600
-122.17,37.74,46,769,183,693,178,2.25,84200
-122.18,37.75,45,330,76,282,80,4.0469,80700
-122.17,37.75,38,992,279,732,259,1.6196,85100
-122.18,37.75,36,1047,214,651,166,1.712,82100
-122.16,37.76,45,2299,514,1437,484,2.5122,95500
-122.16,37.76,46,1827,307,881,302,4.6696,164300
-122.16,37.76,36,2781,574,1438,519,2.4598,155500
-122.14,37.77,27,2229,365,1297,355,4.8304,279100
-122.14,37.76,34,1513,231,545,211,5.5701,252800
-122.12,37.75,33,1809,261,808,219,6.86,250000
-122.13,37.75,36,768,93,229,93,5.3602,330000
-122.16,37.75,46,954,161,429,154,2.925,142900
-122.15,37.75,40,1445,256,849,255,3.8913,126300
-122.15,37.75,44,1938,399,946,331,3.225,135800
-122.15,37.74,41,856,178,571,191,3.1458,130600
-122.16,37.75,44,617,131,378,135,2.5568,111100
-122.15,37.74,43,1383,275,853,272,3.5083,122000
-122.15,37.74,49,1325,277,764,282,3.3125,118000
-122.16,37.75,35,667,140,406,133,3.8047,94300
-122.16,37.74,43,1534,300,826,295,4.0417,109400
-122.16,37.74,46,1029,181,567,211,3.4844,129500
-122.16,37.74,44,1097,239,609,215,2.0227,103100
-122.29,37.9,52,1604,263,594,286,5.338,270900
-122.3,37.9,38,2263,522,1027,509,3.5125,224200
-122.29,37.89,52,3171,698,1498,696,3.1795,218200
-122.29,37.89,52,2269,380,1004,371,5.1696,261400
-122.29,37.89,52,2178,421,940,423,5.0551,232200
-122.27,37.9,42,1650,274,645,256,5.6228,375400
-122.26,37.9,52,1927,279,705,288,7.8864,357300
-122.27,37.89,52,3046,373,975,365,8.8342,430500
-122.28,37.9,52,2318,328,779,312,7.1754,362900
-122.28,37.89,52,1225,169,412,168,5.7912,327100
-122.27,37.89,52,1978,293,723,272,5.3989,335600
-122.26,37.9,37,2220,335,903,362,7.8336,371300
-122.26,37.89,52,3078,494,1005,462,6.381,342200
-122.25,37.89,37,3000,457,987,450,7.5385,350000
-122.27,37.88,52,3360,648,1232,621,4.2813,284900
-122.27,37.88,44,2252,592,989,550,3.0132,272900
-122.28,37.88,52,1172,215,489,218,3.9167,235600
-122.29,37.88,52,2159,424,824,388,3.8897,218400
-122.3,37.86,50,499,127,287,128,2.75,140600
-122.3,37.87,52,3123,749,1695,684,2.2208,144800
-122.28,37.87,52,589,132,288,131,3.5156,2e+05
-122.28,37.87,49,2026,548,963,521,1.9805,173700
-122.29,37.87,52,895,198,386,204,3.875,182600
-122.28,37.87,46,3022,696,1293,675,2.543,220700
-122.28,37.87,46,1777,446,805,431,2.8676,212000
-122.26,37.88,52,1149,255,483,249,4.2788,332500
-122.26,37.88,52,2604,837,1798,769,1.725,287500
-122.28,37.86,52,938,195,393,189,3.8594,196400
-122.28,37.87,52,1233,300,571,292,2.2788,182300
-122.29,37.87,52,2225,460,1145,430,2.6165,150000
-122.28,37.86,52,2031,450,958,445,1.9327,169900
-122.28,37.85,52,2246,472,1005,449,2.4167,152700
-122.28,37.86,52,1999,417,780,358,3.3906,179300
-122.28,37.86,52,3007,691,1582,636,2.5652,157700
-122.28,37.86,41,2214,550,1213,568,2.2845,153100
-122.27,37.86,52,1088,305,486,267,2.6071,250000
-122.27,37.86,52,834,186,494,175,3.15,206300
-122.27,37.86,52,1769,372,849,365,2.6914,218800
-122.27,37.86,52,2307,583,1127,548,1.8447,198200
-122.26,37.86,35,5161,1744,3276,1742,1.6307,253600
-122.26,37.86,52,3774,744,1461,679,2.9405,289500
-122.26,37.86,52,2888,604,1253,538,3.3893,241700
-122.25,37.86,52,1709,318,719,295,5.0463,456300
-122.25,37.86,52,4048,663,1316,590,5.3794,376900
-122.26,37.85,52,3618,768,1508,755,3.2619,309600
-122.27,37.85,52,4076,920,1800,815,2.7054,182300
-122.27,37.85,47,2077,400,719,326,2.2431,172700
-122.27,37.85,50,1279,300,675,255,1.9028,150800
-122.27,37.85,47,1375,307,843,319,1.3785,142300
-122.28,37.85,44,1025,198,506,204,1.73,147900
-122.28,37.85,48,2063,484,1054,466,2.2625,132900
-122.29,37.84,35,1872,419,1017,414,2.2106,132500
-122.28,37.83,52,3108,813,1623,765,2.6997,126900
-122.3,37.84,14,7355,2408,3100,2051,4.0018,143800
-122.23,37.82,52,3051,381,1005,369,8.1872,466100
-122.24,37.83,52,1757,246,585,227,5.8948,457800
-122.24,37.83,52,2449,312,916,316,8.1194,471600
-122.24,37.82,52,3665,517,1470,520,6.155,398600
-122.24,37.77,52,1153,235,481,223,2.6411,241000
-122.25,37.77,52,2650,566,1468,567,3.0161,215700
-122.25,37.77,52,1038,220,482,215,3.1771,210200
-122.26,37.78,52,1045,239,496,216,2.9213,190800
-122.27,37.78,52,1408,280,718,265,2.6806,207900
-122.27,37.78,52,1222,264,630,265,3.7708,215300
-122.27,37.78,45,1169,263,723,286,3.9444,212900
-122.27,37.78,13,2020,535,959,486,5.2601,292700
-122.28,37.79,30,4145,869,3668,855,2.5444,275000
-122.3,37.77,42,2038,368,2037,355,2.6447,2e+05
-122.29,37.78,42,1241,309,821,300,1.9427,102200
-122.28,37.77,52,1468,363,870,347,2.9688,220800
-122.28,37.77,27,3997,1073,1901,966,3.75,242800
-122.28,37.78,50,1487,306,730,327,2.5139,219000
-122.26,37.77,52,1670,350,793,299,2.9732,282100
-122.27,37.77,52,1710,481,849,457,2.7115,220800
-122.26,37.77,52,2097,444,915,413,2.9899,228100
-122.26,37.77,52,1848,479,921,477,2.875,234000
-122.23,37.76,52,3011,542,1303,535,5.1039,273800
-122.23,37.76,52,1049,185,374,176,4.1458,248500
-122.23,37.76,52,1705,246,658,253,5.75,306300
-122.24,37.75,45,891,155,384,146,4.9489,247100
-122.24,37.76,52,2567,436,1119,415,4.6094,229300
-122.24,37.73,21,7031,1249,2930,1235,4.5213,228400
-122.25,37.74,25,1914,365,897,390,4.4562,206200
-122.27,37.73,31,5785,1379,2973,1312,3.2689,231000
-122.25,37.76,52,2876,648,1340,632,3.567,252900
-122.27,37.77,23,5679,1270,2690,1151,4.7695,291700
-122.06,37.77,12,14316,2045,5781,2007,7.2634,341600
-122.07,37.71,40,1808,302,746,270,5.3015,254900
-122.07,37.71,36,2879,480,1235,455,4.9801,241500
-122.08,37.72,31,3866,531,1368,521,6.187,340400
-122.09,37.71,35,2663,387,1086,367,5.1498,266400
-122.1,37.72,30,2599,366,922,350,5.8382,330200
-122.11,37.71,36,4569,824,1950,819,4.65,206800
-122.1,37.69,30,3115,625,1444,568,3.7222,195800
-122.09,37.7,31,2053,336,867,329,4.3375,241800
-122.08,37.71,38,1663,295,781,301,5.0519,227000
-122.08,37.71,38,3716,657,1784,652,4.8237,220900
-122.08,37.7,32,2718,447,1156,410,5.2497,259300
-122.07,37.7,39,1420,272,645,277,4.125,232500
-122.06,37.7,33,3906,790,1912,770,3.5187,209400
-122.07,37.7,32,3400,736,1487,694,3,223200
-122.08,37.7,25,3402,758,1645,710,3.4934,209900
-122.09,37.7,33,4413,1107,2239,1051,2.9861,208200
-122.09,37.69,20,4296,817,1732,800,4.8036,188300
-122.15,37.74,52,2898,557,1338,550,3.851,183500
-122.14,37.74,52,1071,201,440,192,4.0662,204200
-122.14,37.73,51,2619,403,922,393,4.6042,251900
-122.15,37.74,49,1494,316,611,288,2.2,187500
-122.16,37.73,52,2260,416,994,412,4.1164,198200
-122.15,37.73,45,3758,819,1573,736,2.8355,245400
-122.16,37.73,52,1114,206,425,207,2.5625,175000
-122.18,37.72,45,1498,313,1003,305,3.8047,156700
-122.18,37.7,36,2639,533,1209,519,4.0268,205500
-122.19,37.71,36,361,69,158,58,5.5461,262500
-122.17,37.72,42,3008,659,1817,664,3.371,165000
-122.17,37.72,46,1369,284,766,289,3.5313,159700
-122.17,37.72,5,1692,398,814,328,3.663,158300
-122.15,37.73,28,2215,587,830,573,2.1898,141700
-122.15,37.72,47,1190,251,540,266,3.375,198300
-122.15,37.72,29,4169,1047,2024,962,2.8125,157400
-122.14,37.73,43,2264,390,931,368,3.8125,235100
-122.13,37.73,33,1996,268,686,270,6.9096,341800
-122.13,37.72,35,2183,383,976,392,3.8393,243500
-122.12,37.71,35,1037,207,552,210,4,167900
-122.14,37.72,39,786,132,288,132,3.5156,218900
-122.13,37.72,45,2315,451,1006,444,3.524,186200
-122.13,37.71,44,1613,339,776,346,3.1103,188900
-122.13,37.71,44,1421,298,609,270,3.5781,180000
-122.15,37.71,18,5778,1526,2441,1352,3.1682,202700
-122.14,37.71,27,3094,866,1364,789,2.6101,181700
-122.14,37.71,18,3905,1007,2197,1044,3.6932,166800
-122.13,37.69,17,2380,769,1216,643,3.395,271300
-122.16,37.7,36,2239,391,1203,379,5.0043,190400
-122.14,37.69,38,1571,317,874,301,4.4659,189100
-122.15,37.69,38,1246,221,637,222,3.6625,184600
-122.15,37.7,36,1468,252,733,229,3.4583,192600
-122.16,37.69,36,1118,219,625,228,3.7813,192200
-122.16,37.7,36,1097,208,568,225,2.9917,194600
-122.17,37.7,24,1755,365,952,362,4,202600
-122.17,37.69,24,2262,391,1125,366,4.7609,212600
-122.16,37.69,36,1480,278,796,283,4.3971,205700
-122.15,37.69,36,1545,273,863,267,4.0109,192900
-122.15,37.68,35,2632,447,1349,486,4.3864,205200
-122.15,37.68,30,2261,443,929,383,4.2841,213400
-122.15,37.69,39,1670,308,957,335,5.1312,183600
-122.14,37.69,37,2141,535,1093,555,2.9958,178400
-122.14,37.68,27,3337,613,1489,607,3.6364,219200
-122.14,37.68,31,3184,716,1561,628,2.7955,183100
-122.13,37.69,34,1131,278,560,237,2.875,161700
-122.12,37.71,38,1164,284,632,289,3.0345,152100
-122.12,37.69,35,2681,508,1580,536,4.1042,179100
-122.12,37.7,19,2495,635,1571,579,2.5833,159900
-122.11,37.7,23,1689,461,828,443,2.1552,161400
-122.11,37.7,19,2693,789,1765,724,2.4206,137500
-122.11,37.69,42,1472,310,768,309,3.4643,160900
-121.97,37.64,32,1283,194,485,171,6.0574,431000
-122.07,37.68,36,1815,426,1280,431,3.25,218100
-122.06,37.68,30,5367,1207,2667,1047,3.1796,170300
-122.09,37.69,43,500,110,273,120,3.3125,150000
-122.1,37.68,37,2116,503,1109,448,2.535,174000
-122.11,37.68,37,1976,481,1197,465,2.5772,170200
-122.1,37.67,34,3659,897,2479,903,2.9564,150500
-122.12,37.68,35,1958,484,1146,448,2.95,148900
-122.12,37.68,37,2412,394,975,375,4.0417,191100
-122.11,37.67,36,2110,389,952,370,3.8,187500
-122.12,37.68,45,2179,401,1159,399,3.4839,180600
-122.13,37.68,44,2147,399,1175,401,4.1974,179300
-122.13,37.68,43,1676,340,924,328,3.6,179400
-122.14,37.67,34,3036,533,1366,500,4.2386,192300
-122.14,37.67,37,3342,569,1635,557,4.7933,186900
-122.13,37.67,40,1748,318,914,317,3.8676,184000
-122.12,37.67,33,3429,681,1798,694,3.9395,184700
-122.11,37.67,38,1035,247,599,224,3.0917,167200
-122.11,37.67,32,3028,811,2037,703,3.0645,165400
-122.09,37.67,33,2431,655,1854,603,2.7019,154000
-122.09,37.67,39,2069,500,1408,478,3.1115,153500
-122.09,37.66,40,1340,313,766,271,3.4722,135400
-122.05,37.68,32,2015,318,1019,340,6.1104,240700
-122.07,37.67,28,2932,739,1198,624,3.2417,210800
-122.07,37.67,38,2104,409,1039,394,3.875,165300
-122.04,37.67,18,3000,419,1155,415,6.8233,332600
-122.04,37.66,23,2419,348,1066,384,6.3501,350000
-122.07,37.66,21,5031,1168,2461,1042,3.875,179300
-122.08,37.66,33,1547,372,1063,356,2.5625,154300
-122.07,37.65,31,3300,790,2181,740,3.016,161800
-122.08,37.65,17,5018,1439,3069,1299,2.7694,161900
-122.08,37.65,35,1813,393,1093,374,3.6818,165400
-122.09,37.65,35,1130,192,543,184,4.3897,190600
-122.09,37.65,35,1184,200,572,194,4.7143,193800
-122.1,37.66,34,656,115,342,112,4.6875,200600
-122.11,37.66,29,2544,643,2332,603,3.2091,150000
-122.11,37.66,36,1755,316,913,299,4.1302,172700
-122.11,37.66,35,2843,652,1726,643,3.09,174100
-122.12,37.65,26,162,27,86,25,2.375,137500
-122.1,37.63,18,9963,2031,5613,1946,3.8171,187200
-122.1,37.61,35,2361,458,1727,467,4.5281,173600
-122.13,37.66,19,862,167,407,183,4.3456,163000
-122.11,37.64,31,1487,280,854,301,5.2312,197600
-122.11,37.64,8,3592,849,1907,746,3.6708,197900
-122.12,37.64,40,432,102,264,77,3.8875,228100
-122.09,37.64,32,1578,284,836,292,3.9063,184200
-122.09,37.64,36,1885,307,853,271,4.1141,173100
-122.08,37.64,30,5267,1253,4065,1113,3.3479,182100
-122.08,37.64,23,1897,440,1109,418,3.142,179500
-122.08,37.63,31,767,171,548,185,3.7614,176000
-122.07,37.64,22,5861,1516,5436,1463,2.5158,134900
-122.07,37.63,27,2784,723,2028,693,2.4808,157600
-122.06,37.64,37,1468,304,1038,282,4.1652,158200
-122.06,37.64,20,1655,450,857,430,3.5541,350000
-122.06,37.64,33,1160,252,729,220,3.8259,146100
-122.04,37.63,33,952,172,369,159,3.2331,226700
-122.03,37.62,35,2072,352,1001,350,4.7109,198700
-122.04,37.62,35,657,118,328,134,3.8125,204200
-122.04,37.62,32,1540,324,793,302,3.2857,193200
-122.03,37.61,36,1409,271,1002,281,3.7262,164900
-122.03,37.61,37,1383,259,808,241,4.0125,161400
-122.04,37.61,36,1151,216,727,215,4.1719,187000
-122.04,37.62,35,899,179,455,185,4.2857,190400
-122.08,37.62,17,2485,518,1139,550,2.6875,157300
-122.07,37.63,35,1931,376,1175,337,3.7292,168100
-122.06,37.63,12,6711,1374,3388,1289,3.8625,208900
-122.06,37.63,23,1939,356,841,364,3.3611,169200
-121.99,37.61,9,3666,711,2341,703,4.6458,217000
-122.02,37.6,32,1295,280,1156,300,3.5,154300
-122.02,37.6,32,1295,295,1097,328,3.2386,149600
-122.03,37.61,33,1518,302,831,268,5.097,188600
-122.06,37.6,22,3009,497,1640,514,4.625,235300
-122.06,37.6,18,1726,276,1186,310,5.3226,231700
-122.08,37.58,15,2576,418,1657,410,5.5218,254400
-122.07,37.58,16,1893,338,1461,344,5.225,213700
-122.04,37.59,14,1727,302,1116,273,5.3428,243600
-122.05,37.59,15,6243,1273,3163,1274,3.7462,212500
-122.02,37.59,18,1165,333,855,319,3.6923,213200
-121.97,37.57,21,4342,783,2172,789,4.6146,247600
-121.96,37.58,15,3575,597,1777,559,5.7192,283500
-121.99,37.58,31,2878,478,1276,485,6.2073,282500
-122,37.58,6,4405,717,2071,688,5.8151,295600
-122.01,37.57,14,16199,2993,8117,2847,5.8322,281800
-122.04,37.58,14,14917,2708,8012,2606,5.6277,269800
-122.04,37.57,12,5719,1064,3436,1057,5.2879,231200
-122.07,37.57,8,8647,1407,5019,1379,6.5615,318300
-122.06,37.58,15,8112,1376,4576,1348,5.6758,253400
-122.05,37.57,7,10648,1818,6075,1797,6.1047,278200
-121.93,37.49,5,1150,311,648,245,3.5714,3e+05
-122.01,37.56,6,3028,778,1531,736,4.4259,158000
-122.01,37.55,26,2068,532,1434,495,3.3008,224200
-122.02,37.55,33,1325,274,909,267,4.5687,177200
-121.99,37.56,18,5505,1005,2641,971,5,269700
-121.96,37.55,4,3746,993,1606,838,4.1387,162500
-121.98,37.54,17,5133,1375,3386,1339,3.1326,220800
-121.99,37.55,16,6647,2098,4649,1903,2.9074,213800
-121.94,37.56,15,5674,748,2412,714,8.3996,442900
